DOI,URL,issn,area,coments,busca,dado
,http://midias.gazetaonline.com.br/_midias/jpg/2015/11/07/a1-4036264.jpg,,geral,mapa da tragédia,,
10.1590/S0100-84042003000200001,http://www.scielo.br/scielo.php?pid=S0100-84042003000200001&script=sci_arttext,0100-8404,botânica,flora terrestre Abrolhos,"abstract, kwd-group","sec sec-type=materials|methods, sec sec-type=results|discussion (fig, table-wrap)"
10.1590/S0370-44672010000300006 ,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0370-44672010000300006&lang=pt,0370-4467,geologia,aspectos geológicos entre Gov Valadares e Ipanema,,
10.1590/S0001-37652010000400023 ,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652010000400023&lang=pt,0001-3765,oceonografia,processo de sedimentação na foz do Rio Doce,,
10.1590/S1413-41522014019000001026,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-41522014000300207&lang=pt,1413-4152,microbiologia,floração de cianobactérias no Rio Doce,,
10.1590/S1413-41522006000300003,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-41522006000300003&lang=pt,1413-4152,engenharia ambiental,estudo de bioindicadores do Rio Doce - fabricação de papel,,
10.1590/S1679-87592015075206301 ,http://www.scielo.br/scielo.php?pid=S1679-87592015000100051&script=sci_arttext,1679-8759,oceonografia,estudo de tintinídeos em Abrolhos,,
10.1590/S1516-89132005000500015,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132005000500015&lang=pt,1516-8913,microbiologia,microbiologia do médio Rio Doce,,
10.1590/1678-476620141043364366,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0073-47212014000300013&lang=pt,1678-4766,biologia,estudo de espécie marítima da área do Rio Doce,,
10.1590/S0101-81752006000400040,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-81752006000400040&lang=pt,0101-8175,zoologia,estudo sobre ave na região do Rio Doce,,
10.1590/S0301-80591998000300007,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0301-80591998000300007&lang=pt,0301-8059,ecologia,fauna no Parque do Rio Doce,,
10.1590/S0100-67622004000100016,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-67622004000100016&lang=pt,0100-6762,engenharia florestal,fauna no Parque do Rio Doce,,
10.1590/S1519-566X2006000300004,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-566X2006000300004&lang=pt,1519-566X,ecologia,abelhas no Parque do Rio Doce,"abstract, kwd-group","HTML|seções Materials and Methods, Results"
 10.1590/S0101-81752006000400032  ,http://www.scielo.br/scielo.php?pid=S0101-81752006000400032&script=sci_arttext,0101-8175,zoologia,aves de um fragmento no alto rio doce,"abstract, kwd-group","HTML|seções Resultados|Riquezas de espécies|Composição de espécies, Discussão"
 10.1590/S0102-33062004000100006,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-33062004000100006,0102-3306,botânica,"levantamento florístico de táxons de Papilionoideae arbóreos e arbustivo-escandentes em floresta semidecídua, no Parque Estadual do Rio Doce","abstract, kwd-group","HTML|seções Material e métodos, Resultados, Discussão (figuras)"
 10.1590/S0102-33062006000300005,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-33062006000300005,0102-3306,botânica,flora de espécies arbóreas e palmeiras na floresta estacional semidecidual na planície aluvial do rio Doce em Linhares (ES),"abstract, kwd-group","HTML|Material e métodos, Resultados e discussão"
 10.1590/S0100-06832010000400003,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-06832010000400003,0100-0683,ciência do solo,estudo sobre a erosividade da chuva no Vale do Rio Doce,"article-title, abstract, kwd-group","HTML|Resultados e discussão (quadros), Conclusões"
 10.1590/S0100-06832014000100019  ,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-06832014000100019&lng=en&nrm=iso&tlng=en,0100-0683,ciência do solo,acúmulo de manganês e seca da ponta do eucalipto no Vale do Rio Doce,"article-title, abastract, kwd-group","HTML|Materials and methods, Results and discussion (tables, figures)"
 10.1590/S0101-81752005000200025,http://www.scielo.br/scielo.php?pid=S0101-81752005000200025&script=sci_arttext,0101-8175,zoologia,biologia reprodutiva da Perca-sol Lepomis gibbosus,"abstract, kwd-group","HTML|Materials and methods, Results (figure, table), Discussion"
 10.1590/S0102-33062006000100009,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-33062006000100009,0102-3306,botânica,estudo taxonômico das espécies de Araceae no Parque Estadual do Rio Doce,"article-title, kwd-group","HTML|Introdução, Resultados e discussão (figuras)"
 10.1590/S0102-33062002000400007,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-33062002000400007,0102-3306,botânica,estrutura de um estande de Floresta Estacional Semidecidual Submontana no Parque Estadual do Rio Doce,"article-title, abstract, kwd-group","HTML|Resultados e discussão (figuras, tabelas, gráficos)"
